style_name,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Alcohol_ABV,Bitterness_IBU,Color_SRM
Ordinary Bitter,Gold to copper-colored,Chill haze is allowable at cold temperatures,Low to medium residual malt sweetness should be present,Very low to medium-low,Medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Low to medium,3.00%-4.20%,20-35,10-24
Special Bitter or Best Bitter,Deep gold to deep copper,Chill haze is acceptable at low temperatures,Medium residual malt sweetness should be present,Very low to medium at the brewer’s discretion,Medium and not harsh,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,4.20%-4.80%,28-40,12-28
Extra Special Bitter,Amber to deep copper,Chill haze is acceptable at low temperatures,Medium to medium-high,Medium to medium-high,Medium to medium-high,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. The overall impression is refreshing and thirst quenching. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,4.80%-5.80%,30-45,16-34
Scottish-Style Light Ale,Gold to light brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma may be present. A low to medium-low, soft and chewy caramel malt ﬂavor should be present.",Should not be present,Low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Low,2.80%-3.50%,9-20,12-30
Scottish-Style Heavy Ale,Amber to dark brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma is present. The style exhibits a medium degree of sweet malt and caramel. The overall impression is smooth and balanced.",Should not be present,Perceptible but low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Medium with a soft chewy character,3.50%-4.10%,12-20,16-60
Scottish-Style Export Ale,Medium amber to dark chestnut brown,Chill haze is acceptable at low temperatures,Sweet malt and caramel aromas and flavors define the character of a Scottish Export,Should not be present,Low to medium,"Fruity esters, if present, are low. Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions.",Medium,4.10%-5.30%,15-25,18-38
English-Style Summer Ale,Straw to gold,Chill haze is acceptable at low temperatures,Residual malt sweetness is low to medium. Torriﬁed or malted wheat is often used in quantities of 25 percent or less. Malt attributes such as biscuity or low levels of caramel are present.,"Low to medium, expressed as floral, herbal, earthy, stone fruit, citrus or other attributes. Hop ﬂavor should not be assertive and should be well balanced with malt character.",Medium-low to medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are low to medium. Diacetyl and DMS should not be present.",Low to medium-low,3.70%-5.10%,20-30,6-12
Classic English-Style Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Low to medium malt aroma and ﬂavor is present. Low caramel character is allowable.,"Medium-low to medium-high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes.",Medium-low to medium-high,Fruity esters are medium to medium-high. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,4.40%-5.30%,20-40,10-24
British-Style India Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Medium malt ﬂavor should be present,"Medium to high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes from high hopping rates.",Medium to high,"Fruity esters are medium to high. Traditional interpretations are characterized by medium to medium-high alcohol content. The use of water with high mineral content results in a crisp, dry beer with a subtle and balanced character of sulfur compounds. Diacetyl can be absent or may be present at very low levels.",Medium,4.50%-7.10%,35-63,12-28
Strong Ale,Amber to dark brown,Chill haze is acceptable at low temperatures,Medium to high malt and caramel sweetness. Very low levels of roast malt may be present.,Not present to very low,"Present but minimal, and balanced with malt ﬂavors.","Rich, often sweet and complex fruity ester attributes can contribute to the profile of Strong Ales. Alcohol types can be varied and complex. Diacetyl is usually absent in these beers but may be present at very low levels.",Medium to full,7.00%-11.30%,30-65,16-42
