Color_SRM,Bitterness_IBU,Alcohol_ABV,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Fermentation Characteristics,Body,style_name
6-19,9-25,2.8-5.3%,Gold to Dark Chestnut or Brown,Clear,"Caramel, Toffee",Hop aroma and flavor are not perceived. Hop bitterness is low.,Diacetyl and sulfur are acceptable at very low levels.,Soft,Scottish-Style Ale
3-7,30-45,4.1-5.1%,Straw to Light Amber,Clear to Brilliant,"Toasted, biscuit-like, and/or bready malt flavors along with low levels of fermented-malt-derived sulfur compounds may be evident","Hop aroma and flavor are low to medium-low, deriving from noble-type hops. Hop bitterness is medium",Low levels of fermentation-derived sulfur compounds may be evident. Very low levels of diacetyl and DMS flavors may be perceived,Soft,Bohemian-Style Pilsener
15-26,25-45,4.2-6.3%,Deep Copper to Very Dark Brown,Clear,"Caramel, Chocolate, Toast",Hop aroma and flavor are low to medium. Hop bitterness is medium to high,Not common to style,Varies,American Brown Ale
15-30,25-35,6.2-8%,Light Reddish Brown to Very Dark,Clear,"Dominated by a smooth, balanced sweet maltiness. Will also have a medium degree of malty, caramel-like aroma and flavor",Hop aroma and flavor are not perceived. Hop bitterness is low but perceptible,Yeast characters such as diacetyl and sulfur are acceptable at very low levels,Mouth-Coating,Scotch Ale/Wee Heavy
Varies-Varies,Varies-Varies,Varies-Varies%,Varies,Varies,Varies,Varies,Can be present,Varies,Smoke Beer
39-40,50-80,7-12%,Black,Opaque,"Bittersweet Chocolate, Cocoa, Coffee","Hop aroma and flavor are medium-high to high, with floral, citrus and/or herbal hop aromas. Hop bitterness is medium-high to very high and balanced with the malt character",Not common to style,Mouth-Coating,American Imperial Stout
3-9,5-15,4.4-5.4%,Straw to Light Amber,Cloudy/ Hazy,Grainy,None,"Horsey, leathery or earthy flavors contributed by Brettanomyces yeasts may be evident but have a very low profile, as this beer is not excessively aged",Varies,Contemporary Gose
39-40,35-50,7-12%,Black,Opaque,"No roasted barley or strong burnt/black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness is present",Hop aroma and flavor are low to medium-high. Hop bitterness is medium-low to medium,Diacetyl should be absent,Mouth-Coating,American Imperial Porter
10-25,10-15,4.8-5.4%,Copper-Brown to Very Dark,Slight Haze to Hazy,"Bready or grainy, with a distinct sweet maltiness and a chocolate-like character from roasted malt",Hop aroma and flavor are not perceived. Hop bitterness is low,The phenolic flavors of Dunkel Weissbier should be evident but subdued,Moderate to Mouth-Coating,German-Style Dunkelweizen
3-7,15-25,4.1-5.1%,Straw to Light Amber,Brilliant to Slight Haze,"Light malt sweetness is present in the flavor. Bread, toast, biscuit and wheat flavors are common.","Hop aroma is low to medium-low, present but not dominant. Hop bitterness is low to medium-low.",Not common to style.,Soft,Blonde Ale
Varies,15-21,5.0-8.9%,Hued with color reflecting the choice of fruit,Varies,Sweet malt characters are not perceived,"Hop aroma, flavor and bitterness are not perceived to very low, and can include cheesy or floral lavender notes",Cloudiness is acceptable,Varies,Belgian-Style Fruit Lambic
