,Original Style Name,Modified Style Name,Color_SRM,Bitterness_IBU,Alcohol_ABV,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Fermentation Characteristics,Body
0,Kvass,,,,,,,,,,
1,Scottish Ale,Scottish-Style Ale,6-19,9-25,2.8-5.3%,Gold to Dark Chestnut or Brown,Clear,"Caramel, Toffee",Hop aroma and flavor are not perceived. Hop bitterness is low.,Diacetyl and sulfur are acceptable at very low levels.,Soft
2,Pilsener,Bohemian-Style Pilsener,3-7,30-45,4.1-5.1%,Straw to Light Amber,Clear to Brilliant,"Toasted, biscuit-like, and/or bready malt flavors along with low levels of fermented-malt-derived sulfur compounds may be evident","Hop aroma and flavor are low to medium-low, deriving from noble-type hops. Hop bitterness is medium",Low levels of fermentation-derived sulfur compounds may be evident. Very low levels of diacetyl and DMS flavors may be perceived,Soft
3,Brown Ale,American Brown Ale,15-26,25-45,4.2-6.3%,Deep Copper to Very Dark Brown,Clear,"Caramel, Chocolate, Toast",Hop aroma and flavor are low to medium. Hop bitterness is medium to high,Not common to style,Varies
5,Scotch Ale / Wee Heavy,Scotch Ale/Wee Heavy,15-30,25-35,6.2-8%,Light Reddish Brown to Very Dark,Clear,"Dominated by a smooth, balanced sweet maltiness. Will also have a medium degree of malty, caramel-like aroma and flavor",Hop aroma and flavor are not perceived. Hop bitterness is low but perceptible,Yeast characters such as diacetyl and sulfur are acceptable at very low levels,Mouth-Coating
7,Smoked Beer,Smoke Beer,1-100,1-120,0-15+%,Varies,Varies,Varies,Varies,Can be present,Varies
9,American Double / Imperial Pilsner,American-Style Stout,80+,35-60,5.70%-8.00%,Black,Opaque,"Coffee-like roasted barley and roasted malt aromas are prominent. Low to medium malt sweetness with any of caramel, chocolate, or roasted coffee attributes present at low to medium levels, with a distinct dry-roasted bitterness in the ﬁnish. Astringency from roasted malt and roasted barley is low. Slight roasted malt acidity is acceptable.","Medium to high, often with any of citrusy, resiny or other attributes typical of many American hop varieties.",,Medium to full
10,American IPA,American IPA,6-12,50-70,6.3-7.5%,"Gold to Copper, Red/Brown",Clear to Slight Haze,"Biscuit, Bready, Caramel","Hop aroma is high and hop flavor is strong both with floral qualities and citrus-like, piney, resinous or sulfur-like American-variety hop character. Hop bitterness is medium-high to very high",,Soft to Sticky
11,Maibock / Helles Bock,German-Style Maibock,4-9,20-38,6-8%,Pale to Light Amber,Clear,A lightly toasted and/or bready malt aroma is often evident. Roasted or heavy toast/caramel malt aromas should be absent,"Hop aroma and flavor are low to medium low, deriving from noble-type hops. Hop bitterness is low",,Soft
12,Low Alcohol Beer,Wood- and Barrel-Aged Beer,1-100,1-120,0-15+%,Varies with underlying style and can be influenced by the color of added fruit(s) if any,Varies with underlying style,Varies with underlying style,Varies with underlying style,,Varies with underlying style
